problem,problem_id,temperature,plan,goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3
14,14.1,0.25,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24997341264323472,0.25000886245225507,0.25000886245225507,0.25000886245225507
14,14.1,0.5,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24949602791616698,0.25016799069461104,0.25016799069461104,0.25016799069461104
14,14.1,1.0,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.2484432653101135,0.2505189115632955,0.2505189115632955,0.2505189115632955
14,14.1,2.0,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24804151536773353,0.25065282821075546,0.25065282821075546,0.25065282821075546
14,14.1,4.0,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24846342388767184,0.25051219203744274,0.25051219203744274,0.25051219203744274
14,14.1,8.0,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24904652050935014,0.2503178264968833,0.2503178264968833,0.2503178264968833
14,14.1,16.0,"Term[down(human), right(robot), down(human), right(robot), down(human), pickupr(robot, key1), left(human), left(robot), pickuph(human, key2), left(robot), right(human), down(robot), right(human), down(robot), right(human), down(robot), right(human), unlockr(robot, key1, door2), right(human), noop(robot), unlockh(human, key2, door3), noop(robot), down(human), noop(robot), down(human), noop(robot), left(human), noop(robot), left(human), noop(robot), pickuph(human, gem2)]",0.24947074078191836,0.25017641973936056,0.25017641973936056,0.25017641973936056
4,4.1,0.25,"Term[noop(human), right(robot), noop(human), right(robot), noop(human), up(robot), noop(human), up(robot), noop(human), left(robot), noop(human), pickupr(robot, key5), noop(human), right(robot), noop(human), right(robot), noop(human), pickupr(robot, key6), noop(human), left(robot), noop(human), down(robot), noop(human), down(robot), noop(human), left(robot), noop(human), left(robot), noop(human), down(robot), noop(human), handover(robot, human, key5), noop(human), handover(robot, human, key6), right(human), noop(robot), unlockh(human, key5, door1), noop(robot), right(human), noop(robot), unlockh(human, key6, door2), noop(robot), right(human), noop(robot), right(human), noop(robot), up(human), noop(robot), pickuph(human, gem1)]",0.2500004769610995,0.2500004769610995,0.24999952303890052,0.24999952303890052
4,4.1,0.5,"Term[noop(human), right(robot), noop(human), right(robot), noop(human), up(robot), noop(human), up(robot), noop(human), left(robot), noop(human), pickupr(robot, key5), noop(human), right(robot), noop(human), right(robot), noop(human), pickupr(robot, key6), noop(human), left(robot), noop(human), down(robot), noop(human), down(robot), noop(human), left(robot), noop(human), left(robot), noop(human), down(robot), noop(human), handover(robot, human, key5), noop(human), handover(robot, human, key6), right(human), noop(robot), unlockh(human, key5, door1), noop(robot), right(human), noop(robot), unlockh(human, key6, door2), noop(robot), right(human), noop(robot), right(human), noop(robot), up(human), noop(robot), pickuph(human, gem1)]",0.250000245568775,0.250000245568775,0.24999975443122502,0.24999975443122502
4,4.1,1.0,"Term[noop(human), right(robot), noop(human), right(robot), noop(human), up(robot), noop(human), up(robot), noop(human), left(robot), noop(human), pickupr(robot, key5), noop(human), right(robot), noop(human), right(robot), noop(human), pickupr(robot, key6), noop(human), left(robot), noop(human), down(robot), noop(human), down(robot), noop(human), left(robot), noop(human), left(robot), noop(human), down(robot), noop(human), handover(robot, human, key5), noop(human), handover(robot, human, key6), right(human), noop(robot), unlockh(human, key5, door1), noop(robot), right(human), noop(robot), unlockh(human, key6, door2), noop(robot), right(human), noop(robot), right(human), noop(robot), up(human), noop(robot), pickuph(human, gem1)]",0.2500001489520596,0.2500001489520596,0.24999985104794042,0.24999985104794042
